Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-000000,2017-02-09,2017-02-15,Same Day,C-7581,Customer 0,Home Office,United States,Seattle,Ohio,97566,East,P-45579,Furniture,Bookcases,Product 0,163.11,2,0.15,23.28
ORD-000001,2019-01-30,2019-02-04,Same Day,C-6165,Customer 1,Consumer,United States,Miami,New York,72318,West,P-19191,Furniture,Furnishings,Product 1,431.59,4,0.23,-51.84
ORD-000002,2018-04-08,2018-04-11,Standard Class,C-5615,Customer 2,Consumer,United States,New York,Pennsylvania,69548,East,P-50641,Furniture,Chairs,Product 2,604.3,3,0.12,69.28
ORD-000003,2018-12-03,2018-12-11,Same Day,C-4124,Customer 3,Home Office,United States,Miami,Texas,68645,East,P-68563,Furniture,Furnishings,Product 3,216.79,2,0.14,47.8
ORD-000004,2017-10-16,2017-10-21,Standard Class,C-2463,Customer 4,Consumer,United States,Columbus,Florida,18408,South,P-58603,Office Supplies,Art,Product 4,394.43,2,0.09,53.35
ORD-000005,2017-05-21,2017-05-27,First Class,C-9287,Customer 5,Consumer,United States,New York,Illinois,25803,South,P-10143,Office Supplies,Binders,Product 5,398.84,2,0.0,98.68
ORD-000006,2018-10-25,2018-10-27,Second Class,C-6509,Customer 6,Consumer,United States,Chicago,Washington,50743,Central,P-17312,Furniture,Chairs,Product 6,89.41,1,0.23,4.83
ORD-000007,2017-05-05,2017-05-08,First Class,C-6342,Customer 7,Consumer,United States,New York,Washington,79009,South,P-65579,Technology,Accessories,Product 7,81.24,4,0.12,20.53
ORD-000008,2017-05-12,2017-05-17,Same Day,C-5648,Customer 8,Corporate,United States,Philadelphia,Illinois,11850,Central,P-31881,Technology,Copiers,Product 8,161.46,2,0.02,29.16
ORD-000009,2018-12-16,2018-12-19,Same Day,C-8487,Customer 9,Corporate,United States,Columbus,Texas,31979,East,P-25069,Furniture,Tables,Product 9,112.23,2,0.01,36.12
ORD-000010,2018-12-23,2018-12-27,Same Day,C-7161,Customer 10,Corporate,United States,Columbus,New York,97565,East,P-62789,Furniture,Chairs,Product 10,321.85,3,0.2,-26.82
ORD-000011,2019-07-23,2019-07-28,First Class,C-2675,Customer 11,Corporate,United States,Houston,Florida,32762,South,P-26003,Office Supplies,Binders,Product 11,245.9,3,0.17,10.54
ORD-000012,2018-04-23,2018-04-30,First Class,C-1368,Customer 12,Corporate,United States,Seattle,Ohio,80000,South,P-75463,Office Supplies,Storage,Product 12,95.84,1,0.08,30.25
ORD-000013,2017-08-09,2017-08-10,Second Class,C-8407,Customer 13,Corporate,United States,New York,New York,25289,East,P-78924,Furniture,Bookcases,Product 13,483.03,3,0.03,112.21
ORD-000014,2017-08-09,2017-08-11,First Class,C-4239,Customer 14,Home Office,United States,Columbus,Ohio,43760,West,P-24636,Furniture,Chairs,Product 14,607.8,4,0.25,1.78
ORD-000015,2017-08-27,2017-09-04,Same Day,C-7432,Customer 15,Home Office,United States,Los Angeles,Washington,24925,South,P-77117,Technology,Accessories,Product 15,522.39,5,0.2,-8.98
ORD-000016,2017-04-28,2017-05-02,Second Class,C-1764,Customer 16,Consumer,United States,Chicago,New York,27885,West,P-23426,Technology,Machines,Product 16,212.3,1,0.16,31.51
ORD-000017,2019-02-23,2019-03-01,First Class,C-1473,Customer 17,Home Office,United States,New York,New York,59347,Central,P-43679,Office Supplies,Storage,Product 17,25.58,2,0.11,3.56
ORD-000018,2019-04-15,2019-04-23,First Class,C-5246,Customer 18,Home Office,United States,Columbus,Illinois,16066,Central,P-94810,Technology,Copiers,Product 18,344.43,3,0.2,40.04
ORD-000019,2018-05-30,2018-06-04,Second Class,C-7498,Customer 19,Home Office,United States,Columbus,New York,15637,East,P-54633,Furniture,Tables,Product 19,1384.21,5,0.13,330.18
ORD-000020,2019-01-19,2019-01-22,Same Day,C-7574,Customer 20,Corporate,United States,Chicago,California,15374,South,P-30156,Furniture,Bookcases,Product 20,433.86,4,0.06,106.39
ORD-000021,2018-03-31,2018-04-02,Standard Class,C-5947,Customer 21,Corporate,United States,Houston,Florida,31824,South,P-89673,Office Supplies,Storage,Product 21,377.18,5,0.03,62.6
ORD-000022,2019-03-13,2019-03-15,Same Day,C-4867,Customer 22,Consumer,United States,New York,California,92978,Central,P-50409,Technology,Accessories,Product 22,63.24,1,0.03,21.36
ORD-000023,2018-01-17,2018-01-24,Same Day,C-1551,Customer 23,Consumer,United States,Chicago,Ohio,47956,Central,P-24380,Office Supplies,Storage,Product 23,253.8,2,0.0,98.02
ORD-000024,2018-06-09,2018-06-14,First Class,C-5740,Customer 24,Consumer,United States,Los Angeles,New York,35401,East,P-71157,Technology,Machines,Product 24,701.25,5,0.05,254.44
ORD-000025,2017-03-11,2017-03-13,Standard Class,C-9788,Customer 25,Corporate,United States,Columbus,Washington,39680,South,P-81410,Office Supplies,Art,Product 25,289.89,2,0.24,-8.56
ORD-000026,2017-07-25,2017-07-28,Standard Class,C-7539,Customer 26,Corporate,United States,Columbus,Ohio,13026,East,P-52194,Technology,Machines,Product 26,79.35,2,0.0,25.68
ORD-000027,2018-05-13,2018-05-14,Same Day,C-8765,Customer 27,Home Office,United States,Houston,New York,15529,West,P-51524,Furniture,Furnishings,Product 27,74.1,1,0.03,24.68
ORD-000028,2017-06-16,2017-06-21,Standard Class,C-3108,Customer 28,Corporate,United States,Chicago,New York,11390,South,P-53819,Office Supplies,Art,Product 28,97.2,1,0.07,26.66
